CJ_HeightDiff,CJ_Gracew,CJ_Fw,CJ_Sw,CJ_Dw,CJ_Frame,CJ_PosZ,CJ_PosX,,SJ_HeightDiff,SJ_Gracew,SJ_Fw,SJ_Frame,SJ_PosZ,SJ_PosX,,
-520,11,50,51,58,207,-585.106841,1727.400333,,-520,11,73,148,-583.0704551,1845.67475,,118.2744167
-530,11,51,51,58,208,-595.3665463,1734.067,,-530,11,75,148,-592.2371183,1851.75825,,117.69125
-540,11,49,50,59,208,-605.3061783,1740.496,,-540,11,74,149,-602.9134552,1859.008083,,118.5120833
-550,11,49,51,59,209,-615.9825418,1747.162667,,-550,11,73,150,-615.673124,1866.257917,,119.09525
-560,11,50,51,59,210,-625.825591,1753.829333,,-560,11,75,150,-623.173122,1872.341417,,118.5120833
-570,11,50,51,61,210,-635.825591,1760.239333,,-570,11,74,151,-635.5161241,1879.59125,,119.3519167
-580,11,52,52,59,212,-645.5630168,1766.088,,-580,11,76,151,-643.8494554,1885.67475,,119.58675
-590,11,50,51,60,212,-655.4401744,1772.517,,-590,11,75,152,-655.7757909,1892.924583,,120.4075833
-600,11,51,51,60,213,-665.6998796,1779.183667,,-600,11,77,152,-664.9424555,1899.008083,,119.8244167
-610,11,51,51,62,213,-675.5748796,1785.593667,,-610,11,75,153,-672.702125,1903.216167,,117.6225
-620,11,53,52,60,215,-685.8539571,1791.442333,,-620,11,77,153,-681.0354567,1909.299667,,117.8573333
-630,11,50,51,63,214,-695.575591,1797.614667,,-630,11,76,154,-693.3784584,1916.5495,,118.9348333
-640,11,51,51,63,215,-705.8352963,1804.281333,,-640,11,78,154,-702.5451234,1922.633,,118.3516667
-650,11,53,52,61,217,-715.8227071,1810.13,,-650,11,77,155,-714.4714585,1929.882833,,119.7528333
-660,11,51,52,62,217,-724.7929033,1815.484333,,-660,11,79,155,-724.4714568,1935.966333,,120.482
-670,11,52,52,62,218,-735.4692668,1822.151,,-670,11,78,156,-735.9811252,1943.216167,,121.0651667
-680,11,52,52,64,218,-745.9276001,1828.561,,-680,11,79,156,-740.9811245,1946.257917,,117.6969167
-690,11,52,51,63,219,-755.8866598,1834.172,,-690,11,78,157,-753.3241258,1953.50775,,119.33575
-700,11,52,53,63,220,-764.947702,1839.764,,-700,11,80,157,-763.3241245,1959.59125,,119.82725
-710,11,53,52,65,220,-775.6977071,1846.174,,-710,11,79,158,-775.2504592,1966.841083,,120.6670833
-720,11,52,52,64,221,-785.3026001,1851.785,,-720,11,80,158,-780.2504586,1969.882833,,118.0978333
-730,11,52,54,64,222,-795.1969665,1857.377,,-730,11,79,159,-793.0101263,1977.132667,,119.7556667
-740,11,54,53,64,223,-805.8733275,1864.043667,,-740,11,81,159,-803.0101253,1983.216167,,119.1725
-750,11,52,53,65,223,-815.4893687,1869.398,,-750,11,80,160,-815.3531264,1990.466,,121.068
-760,11,53,54,65,224,-824.9670735,1874.99,,-760,11,81,160,-820.3531259,1993.50775,,118.51775
-770,11,54,55,65,225,-835.6947701,1880.582,,-770,11,80,161,-833.5294601,2000.757583,,120.1755833
